Index,RegionSubregionCountryArea,Notes,CountryCode,ISO3AlphaCode,LocationTypeCode,LocationTypeName,SubregionCode,SubregionName,RegionCode,RegionName,MoreDevelopedRegions,LessDevelopedRegions,LeastDevelopedCountries,LessDevelopedRegionsExcludingLeastDevelopedCountries,HighIncomeCountries,MiddleIncomeCountries,UpperMiddleIncomeCountries,LowerMiddleIncomeCountries,LowIncomeCountries,Sub-SaharanAfrica,HIV/AIDS mortality modelling in WPP 2017 revision,"with a population of less than 90,000 by mid-2017"
1,WORLD,,900,   ,0,Special groupings,,,,,,,,,,,,,,,,
2,More developed regions,a,901,   ,5,Development group,,,,,,,,,,,,,,,,
3,Less developed regions,b,902,   ,5,Development group,,,,,,,,,,,,,,,,
4,Least developed countries,c,941,   ,5,Development group,,,,,,,,,,,,,,,,
5,"Less developed regions, excluding least developed countries",d,934,   ,5,Development group,,,,,,,,,,,,,,,,
6,"Less developed regions, excluding China",,948,   ,12,Special groupings,,,,,,,,,,,,,,,,
7,High-income countries,e,1503,   ,13,Income group,,,,,,,,,,,,,,,,
8,Middle-income countries,e,1517,   ,13,Income group,,,,,,,,,,,,,,,,
9,Upper-middle-income countries,e,1502,   ,13,Income group,,,,,,,,,,,,,,,,
10,Lower-middle-income countries,e,1501,   ,13,Income group,,,,,,,,,,,,,,,,
11,Low-income countries,e,1500,   ,13,Income group,,,,,,,,,,,,,,,,
12,Sub-Saharan Africa,f,947,   ,12,Special groupings,,,,,,,,,,,,,,,,
13,AFRICA,,903,   ,2,Region,,,,,,,,,,,,,,,,
14,Eastern Africa,,910,   ,3,Subregion,,,   903,Africa,,,,,,,,,,,,
15,Burundi,,108,BDI,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
16,Comoros,,174,COM,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
17,Djibouti,,262,DJI,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No
